loc,long,lat,region,date,type,descr,deaths,death_stat,source
Bogutovac,20.55453877,43.65049372,Serbia,4/7/1999,industry,refinery,0,,Bela Knjiga
Bogutovac,20.55453877,43.65049372,Serbia,4/19/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogutovac,20.55453877,43.65049372,Serbia,4/22/1999,military units,,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
Bogutovac,20.55453877,43.65049372,Serbia,4/23/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogutovac,20.55453877,43.65049372,Serbia,4/25/1999,industry,refinery,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
Bogutovac,20.55453877,43.65049372,Serbia,5/1/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogutovac,20.55453877,43.65049372,Serbia,5/8/1999,industry,bridge/refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogutovac,20.55453877,43.65049372,Serbia,5/12/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogutovac,20.55453877,43.65049372,Serbia,5/17/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bogutovac,20.55453877,43.65049372,Serbia,5/17/1999,industry,refinery,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
Boljevac,21.9453,43.8312,Serbia,4/16/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Boljevac,21.95533666,43.82377654,Serbia,5/15/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Boljevac,21.9453,43.8312,Serbia,5/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Boljevacka suma, Obrenovac",20.21604652,44.7217823,Serbia,5/25/1999,infrastructure,grid,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Boljevacka suma, Obrenovac",20.21604652,44.7217823,Serbia,5/28/1999,infrastructure,grid,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Boljevacka suma, Obrenovac",20.21604652,44.7217823,Serbia,5/31/1999,infrastructure,grid,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bor,22.10895273,44.07642504,Serbia,5/15/1999,industry,"refinery - 1, plant - 2",0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bor,22.10895273,44.07642504,Serbia,5/16/1999,industry,factory,0,,http://nointervention.com/archive/Yugoslavia/www.serbia-info.com/news/1999-06/05/12335.html
Bor,22.10895273,44.07642504,Serbia,5/17/1999,civilian,,1,civilian,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bor,22.10895273,44.07642504,Serbia,5/21/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bor,22.10895273,44.07642504,Serbia,5/22/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bor,22.10895273,44.07642504,Serbia,5/26/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bor,22.10895273,44.07642504,Serbia,5/27/1999,industry,refinery,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
"Borca, Kraljevo",20.7188,43.7465,Serbia,6/2/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brabonjic,20.7866,42.8421,Kosovo,6/8/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brankovac,19.74050241,45.1575272,Serbia,5/15/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brankovac,19.74050241,45.1575272,Serbia,6/4/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bresje,21.26257783,43.93900614,Serbia,5/21/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brezna,20.68102625,43.56652725,Serbia,4/24/1999,civilian,,0,,"http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html, FHP"
Brvenica,20.59949839,43.35455977,Serbia,5/17/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brvenik,20.6354,43.3504,Serbia,4/26/1999,infrastructure,bridge,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brvenik,20.6354,43.3504,Serbia,4/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Brvenik,20.6354,43.3504,Serbia,5/30/1999,military facility,,0,,Bela Knjiga
Brvenik,20.6354,43.3504,Serbia,5/31/1999,infrastructure,bridge,1,military,FHP
"Brvenik, most",20.64020069,43.35345746,Serbia,4/6/1999,infrastructure,bridge,0,,Bela Knjiga
"Brvenik, most",20.64020069,43.35345746,Serbia,4/11/1999,infrastructure,bridge,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
"Brvenik, most",20.64020069,43.35345746,Serbia,5/13/1999,infrastructure,bridge,0,,http://www.kraljevo.com/kraljevo/proslost/nato-agresija-99.htm
Bubanj Potok,20.553,44.7179,Serbia,4/9/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bubanj Potok,20.553,44.7179,Serbia,5/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bubanj Potok,20.553,44.7179,Serbia,5/30/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bujanovac,21.76657766,42.46068138,Serbia,4/20/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bujanovac,21.76657766,42.46068138,Serbia,5/15/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Bujanovac,21.76657766,42.46068138,Serbia,5/19/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Butovacki breg,21.2326,42.6636,Kosovo,6/2/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.3264,43.8894,Serbia,3/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,3/27/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,3/29/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,3/30/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,4/4/1999,industry,factory,2,civilian,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,4/6/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,4/13/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,5/10/1999,industry,factory,5,civilian,FHP
Cacak,20.34471289,43.87782436,Serbia,5/15/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cacak,20.34471289,43.87782436,Serbia,5/17/1999,industry,factory,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cajetina,19.7051,43.7497,Serbia,5/26/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Camurlija,21.842,43.3708,Serbia,3/31/1999,military units,,1,military,FHP
Cekavica,21.83619356,42.93678546,Serbia,5/27/1999,civilian,,2,civilian,FHP
Cenej,19.80297455,45.36885611,Serbia,3/28/1999,military units,,3,military,FHP
Cenovac,21.84342241,42.96496564,Serbia,5/29/1999,civilian,,2,civilian,FHP
Cer,19.4846,44.6033,Serbia,4/16/1999,communications,,0,,Bela Knjiga
Cer,19.4846,44.6033,Serbia,4/16/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cer,19.4846,44.6033,Serbia,5/1/1999,communications,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cer,19.4846,44.6033,Serbia,5/20/1999,communications,relay,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
Cerovo,21.48703492,43.62717501,Serbia,6/6/1999,military units,,0,,http://arhiva.glas-javnosti.rs/arhiva/1999/03/25/gv-01-1999-03-25.html
