county,id,okrug,okrug_id,year,vote_milosevic,vote_opposition,vote_srs,turnout,bombed,year00,employed_per_1000inh,pop_per_doctor,refugees_perc_pop,minorpc91,femalepc91,pop_chng_98_02,irp,urbanpc91,age20_34pc,illiterate_pc,allen_vincent_2011
KULA,60,ZAPADNOBACKI,5,1992,23.55316735,5.924170616,13.08657633,88.32,1,0,248,701,0.084038044,0.557664618,0.513540358,-0.000971074,0.004524793,0.602424292,0.201786859,0.020908734,1
KURSUMLIJA,61,TOPLICKI,21,1992,42.55904124,6.852308777,34.635178,78.47,1,0,227,527,0.028274693,0.047647308,0.501803063,-0.056419214,0.253275109,0.539221925,0.180997779,0.081312477,0
LAJKOVAC,62,KOLUBARSKI,9,1992,37.60822511,11.51695527,17.0995671,84.49,0,0,207,681,0.087209302,0.040415444,0.501409562,-0.025028571,0.004971429,0.193279206,0.186906576,0.038916891,0
LAPOVO,63,SUMADIJSKI,12,1992,29.79927946,21.80476926,20.36369875,79.14,0,0,253,588,0.039978903,0.033438819,0.50108692,-0.115268817,0.069677419,0.497163819,0.186922703,0.019202722,0
LAZAREVAC,64,BEOGRAD,0,1992,28.14541079,21.07826286,22.50773462,81.85,1,0,378,500,0.034611596,0.041727523,0.498300576,-0.024816667,0.033683333,0.352002364,0.199347131,0.026747107,0
LEBANE,65,JABLANICKI,23,1992,42.26719701,7.656761816,23.07557323,81.94,1,0,199,727,0.007684351,0.054787941,0.49,-0.070223881,0.010597015,0.352002364,0.187936431,0.097840918,0
LESKOVAC,66,JABLANICKI,23,1992,41.10239198,8.0325234,28.27550345,80.99,1,0,245,314,0.014519773,0.066610695,0.5,-0.03904059,0.030885609,0.419641204,0.200144638,0.065951156,0
LJIG,67,KOLUBARSKI,9,1992,26.01695723,11.43183767,16.11889111,82.88,0,0,192,775,0.04436903,0.021870287,0.493556631,-0.037565789,0.008157895,0.189416792,0.173559368,0.031649463,0
LJUBOVIJA,68,MACVANSKI,8,1992,37.09321566,11.0865968,18.09156095,78.81,1,0,163,763,0.039856452,0.014246099,0.500627338,-0.063076923,0.001098901,0.280414388,0.19358433,0.077879428,1
LOZNICA,69,MACVANSKI,8,1992,32.80463444,14.43268078,26.7359169,74.96,1,0,288,468,0.307729496,0.044443165,0.501932492,-0.009025229,0.004816514,0.226598447,0.203059725,0.041058637,1
LUCANI,70,MORAVICKI,17,1992,28.14238708,15.71043972,25.53395154,77.7,1,0,280,619,0.022490522,0.025140796,0.500328731,-0.056934866,0.002528736,0.55146468,0.171244007,0.046599496,0
MAJDANPEK,71,BORSKI,14,1992,34.15283234,16.77860854,17.74173109,77.32,0,0,363,443,0.014354591,0.084228212,0.514156522,-0.122111111,0.000666667,0.55146468,0.195249546,0.053537527,0
MALI IDJOS,72,SEVERNOBACKI,1,1992,18.93133191,6.810798701,10.22740002,85.75,1,0,199,742,0.02396832,0.886480478,0.495402381,-0.029208633,0.006043165,0.308004847,0.190306803,0.017415147,0
MALI ZVORNIK,73,MACVANSKI,8,1992,26.2301484,6.157250716,45.74329602,73.89,0,0,200,1200,0.223893364,0.136075273,0.495,-0.035890411,0.001575342,0.308004847,0.194373402,0.049161694,1
MALO CRNICE,74,BRANICEVSKI,11,1992,37.22272865,18.302441,14.32188798,61.09,1,0,39,1320,0.03335005,0.042126379,0.506118355,-0.293214286,0.001326531,0,0.192593662,0.03869198,0
MEDVEDJA,75,JABLANICKI,23,1992,38.27529924,8.664309032,16.58052231,73.08,0,0,139,574,0.015335129,0.387043686,0.501423648,-0.190977444,0.053759398,0.268769669,0.176301115,0.08605948,0
MEROSINA,76,NISAVSKI,20,1992,44.43302821,5.791145152,28.4513357,84.43,1,0,61,781,0.011657559,0.031572556,0.490771099,-0.08,0.011180124,0,0.174858223,0.104307318,0
MIONICA,77,KOLUBARSKI,9,1992,32.82797301,12.89983349,15.09070195,82.86,1,0,144,1000,0.07565638,0.026197605,0.499251497,-0.011197605,0.005149701,0.096672041,0.173317992,0.058681039,0
